date,fiscal_year,product_code,customer_code,sold_quantity,forecast_quantity
2017-09-01,2018,A0118150101,90027207,4,5
2017-09-01,2018,A0118150102,70002017,77,62
2017-09-01,2018,A0118150102,70002018,23,58
2017-09-01,2018,A0118150102,70003181,15,10
2017-09-01,2018,A0118150102,70003182,11,6
2017-09-01,2018,A0118150102,70006157,10,4
2017-09-01,2018,A0118150102,70006158,8,6
2017-09-01,2018,A0118150102,70007198,25,10
2017-09-01,2018,A0118150102,70007199,33,3
2017-09-01,2018,A0118150102,70008169,12,14
2017-09-01,2018,A0118150102,70008170,14,19
2017-09-01,2018,A0118150102,70011193,3,5
2017-09-01,2018,A0118150102,70011194,4,3
2017-09-01,2018,A0118150102,70012042,0,0
2017-09-01,2018,A0118150102,70012043,0,0
2017-09-01,2018,A0118150102,70013125,2,2
2017-09-01,2018,A0118150102,70013126,1,2
2017-09-01,2018,A0118150102,70016177,1,1
2017-09-01,2018,A0118150102,70016178,0,1
2017-09-01,2018,A0118150102,70022085,12,2
2017-09-01,2018,A0118150102,70023031,4,1
2017-09-01,2018,A0118150102,80001019,6,15
2017-09-01,2018,A0118150102,80006154,32,4
2017-09-01,2018,A0118150102,80006155,28,23
2017-09-01,2018,A0118150102,80007195,89,20
2017-09-01,2018,A0118150102,90001021,1,2
2017-09-01,2018,A0118150102,90002001,24,48
2017-09-01,2018,A0118150102,90002002,16,55
2017-09-01,2018,A0118150102,90002003,10,73
2017-09-01,2018,A0118150102,90002005,11,30
2017-09-01,2018,A0118150102,90002006,38,34
2017-09-01,2018,A0118150102,90002007,45,75
2017-09-01,2018,A0118150102,90002009,34,32
2017-09-01,2018,A0118150102,90002010,39,64
2017-09-01,2018,A0118150102,90002011,22,25
2017-09-01,2018,A0118150102,90002013,55,43
2017-09-01,2018,A0118150102,90002014,8,18
2017-09-01,2018,A0118150102,90002015,74,56
2017-09-01,2018,A0118150102,90003179,16,3
2017-09-01,2018,A0118150102,90006153,7,4
2017-09-01,2018,A0118150102,90007197,14,16
2017-09-01,2018,A0118150102,90008165,4,11
2017-09-01,2018,A0118150102,90008166,18,12
2017-09-01,2018,A0118150102,90008167,8,9
2017-09-01,2018,A0118150102,90011185,7,4
2017-09-01,2018,A0118150102,90011186,9,5
2017-09-01,2018,A0118150102,90011187,8,8
2017-09-01,2018,A0118150102,90011189,5,2
2017-09-01,2018,A0118150102,90011190,3,6
2017-09-01,2018,A0118150102,90011191,2,6
2017-09-01,2018,A0118150102,90012033,0,0
2017-09-01,2018,A0118150102,90012034,0,0
2017-09-01,2018,A0118150102,90012035,0,0
2017-09-01,2018,A0118150102,90012037,0,0
2017-09-01,2018,A0118150102,90012038,0,0
2017-09-01,2018,A0118150102,90012039,0,0
2017-09-01,2018,A0118150102,90012041,0,0
2017-09-01,2018,A0118150102,90013117,2,0
2017-09-01,2018,A0118150102,90013118,2,0
2017-09-01,2018,A0118150102,90013119,1,1
2017-09-01,2018,A0118150102,90013121,3,1
2017-09-01,2018,A0118150102,90013122,1,1
2017-09-01,2018,A0118150102,90013123,2,1
2017-09-01,2018,A0118150102,90016174,1,0
2017-09-01,2018,A0118150102,90016175,1,1
2017-09-01,2018,A0118150102,90022071,26,5
2017-09-01,2018,A0118150102,90022073,12,9
2017-09-01,2018,A0118150102,90022074,37,17
2017-09-01,2018,A0118150102,90022075,25,10
2017-09-01,2018,A0118150102,90022077,19,10
2017-09-01,2018,A0118150102,90022078,36,13
2017-09-01,2018,A0118150102,90022079,26,12
2017-09-01,2018,A0118150102,90022081,37,16
2017-09-01,2018,A0118150102,90022082,7,8
2017-09-01,2018,A0118150102,90022083,11,8
2017-09-01,2018,A0118150102,90023022,5,3
2017-09-01,2018,A0118150102,90023023,5,2
2017-09-01,2018,A0118150102,90023025,2,3
2017-09-01,2018,A0118150102,90023026,2,4
2017-09-01,2018,A0118150102,90023027,2,3
2017-09-01,2018,A0118150102,90023029,3,2
2017-09-01,2018,A0118150102,90023030,5,3
2017-09-01,2018,A0118150102,90027207,10,2
2017-09-01,2018,A0118150103,70002017,54,11
2017-09-01,2018,A0118150103,70002018,13,22
2017-09-01,2018,A0118150103,70003181,13,15
2017-09-01,2018,A0118150103,70003182,16,9
2017-09-01,2018,A0118150103,70006157,6,5
2017-09-01,2018,A0118150103,70006158,8,1
2017-09-01,2018,A0118150103,70007198,14,5
2017-09-01,2018,A0118150103,70007199,40,17
2017-09-01,2018,A0118150103,70008169,5,17
2017-09-01,2018,A0118150103,70008170,11,7
2017-09-01,2018,A0118150103,70011193,13,5
2017-09-01,2018,A0118150103,70011194,5,2
2017-09-01,2018,A0118150103,70012042,0,0
2017-09-01,2018,A0118150103,70012043,0,0
2017-09-01,2018,A0118150103,70013125,1,2
2017-09-01,2018,A0118150103,70013126,1,1
2017-09-01,2018,A0118150103,70016177,1,0
2017-09-01,2018,A0118150103,70016178,1,1
2017-09-01,2018,A0118150103,70022085,8,14
2017-09-01,2018,A0118150103,70023031,1,3
2017-09-01,2018,A0118150103,80001019,15,14
2017-09-01,2018,A0118150103,80006154,7,7
2017-09-01,2018,A0118150103,80006155,36,18
2017-09-01,2018,A0118150103,80007195,180,97
2017-09-01,2018,A0118150103,90001021,3,1
2017-09-01,2018,A0118150103,90002001,51,65
2017-09-01,2018,A0118150103,90002002,20,51
2017-09-01,2018,A0118150103,90002003,69,22
2017-09-01,2018,A0118150103,90002005,77,42
2017-09-01,2018,A0118150103,90002006,66,82
2017-09-01,2018,A0118150103,90002007,59,9
2017-09-01,2018,A0118150103,90002009,12,44
2017-09-01,2018,A0118150103,90002010,28,53
2017-09-01,2018,A0118150103,90002011,17,52
2017-09-01,2018,A0118150103,90002013,31,29
2017-09-01,2018,A0118150103,90002014,64,72
2017-09-01,2018,A0118150103,90002015,22,38
2017-09-01,2018,A0118150103,90003179,15,10
2017-09-01,2018,A0118150103,90006153,5,6
2017-09-01,2018,A0118150103,90007197,16,6
2017-09-01,2018,A0118150103,90008165,8,6
2017-09-01,2018,A0118150103,90008166,14,18
2017-09-01,2018,A0118150103,90008167,12,3
2017-09-01,2018,A0118150103,90011185,7,3
2017-09-01,2018,A0118150103,90011186,3,6
2017-09-01,2018,A0118150103,90011187,2,3
2017-09-01,2018,A0118150103,90011189,9,7
2017-09-01,2018,A0118150103,90011190,7,5
2017-09-01,2018,A0118150103,90011191,11,3
2017-09-01,2018,A0118150103,90012033,0,0
2017-09-01,2018,A0118150103,90012034,0,0
2017-09-01,2018,A0118150103,90012035,0,0
2017-09-01,2018,A0118150103,90012037,0,0
2017-09-01,2018,A0118150103,90012038,0,0
2017-09-01,2018,A0118150103,90012039,0,0
2017-09-01,2018,A0118150103,90012041,0,0
2017-09-01,2018,A0118150103,90013118,2,1
2017-09-01,2018,A0118150103,90013119,2,0
2017-09-01,2018,A0118150103,90013121,3,1
2017-09-01,2018,A0118150103,90013122,2,0
2017-09-01,2018,A0118150103,90013123,1,2
2017-09-01,2018,A0118150103,90016171,1,0
2017-09-01,2018,A0118150103,90016174,1,0
2017-09-01,2018,A0118150103,90016175,1,1
2017-09-01,2018,A0118150103,90022071,29,6
2017-09-01,2018,A0118150103,90022073,32,16
2017-09-01,2018,A0118150103,90022074,24,14
2017-09-01,2018,A0118150103,90022075,15,11
2017-09-01,2018,A0118150103,90022077,25,15
2017-09-01,2018,A0118150103,90022078,31,2
2017-09-01,2018,A0118150103,90022079,35,13
2017-09-01,2018,A0118150103,90022081,40,15
2017-09-01,2018,A0118150103,90022082,32,3
2017-09-01,2018,A0118150103,90022083,4,7
2017-09-01,2018,A0118150103,90023022,3,3
2017-09-01,2018,A0118150103,90023023,4,1
2017-09-01,2018,A0118150103,90023025,4,1
2017-09-01,2018,A0118150103,90023026,4,1
2017-09-01,2018,A0118150103,90023027,2,2
2017-09-01,2018,A0118150103,90023029,5,2
2017-09-01,2018,A0118150103,90023030,2,2
2017-09-01,2018,A0118150103,90027207,7,4
2017-09-01,2018,A0118150104,70002017,42,25
2017-09-01,2018,A0118150104,70002018,42,59
2017-09-01,2018,A0118150104,70003181,11,2
2017-09-01,2018,A0118150104,70003182,18,9
2017-09-01,2018,A0118150104,70006157,9,4
2017-09-01,2018,A0118150104,70006158,3,1
2017-09-01,2018,A0118150104,70007198,16,12
2017-09-01,2018,A0118150104,70007199,43,8
2017-09-01,2018,A0118150104,70008169,5,10
2017-09-01,2018,A0118150104,70008170,9,22
2017-09-01,2018,A0118150104,70011193,12,3
2017-09-01,2018,A0118150104,70011194,8,1
2017-09-01,2018,A0118150104,70012042,0,0
2017-09-01,2018,A0118150104,70012043,0,0
2017-09-01,2018,A0118150104,70013125,2,2
2017-09-01,2018,A0118150104,70013126,1,2
2017-09-01,2018,A0118150104,70016177,1,0
2017-09-01,2018,A0118150104,70016178,1,1
2017-09-01,2018,A0118150104,70022085,7,19
2017-09-01,2018,A0118150104,70023031,2,2
2017-09-01,2018,A0118150104,80001019,2,15
2017-09-01,2018,A0118150104,80006154,31,18
2017-09-01,2018,A0118150104,80006155,33,8
2017-09-01,2018,A0118150104,80007195,24,11
2017-09-01,2018,A0118150104,90001021,1,3
2017-09-01,2018,A0118150104,90002001,51,29
2017-09-01,2018,A0118150104,90002002,10,18
2017-09-01,2018,A0118150104,90002003,58,63
2017-09-01,2018,A0118150104,90002005,47,77
2017-09-01,2018,A0118150104,90002006,11,64
2017-09-01,2018,A0118150104,90002007,55,60
2017-09-01,2018,A0118150104,90002009,91,87
2017-09-01,2018,A0118150104,90002010,59,65
2017-09-01,2018,A0118150104,90002011,66,8
2017-09-01,2018,A0118150104,90002013,21,59
2017-09-01,2018,A0118150104,90002014,68,53
2017-09-01,2018,A0118150104,90002015,61,64
2017-09-01,2018,A0118150104,90003179,13,11
2017-09-01,2018,A0118150104,90006153,5,5
2017-09-01,2018,A0118150104,90007197,48,15
2017-09-01,2018,A0118150104,90008165,20,17
2017-09-01,2018,A0118150104,90008166,3,4
2017-09-01,2018,A0118150104,90008167,13,4
2017-09-01,2018,A0118150104,90011185,12,8
2017-09-01,2018,A0118150104,90011186,7,2
2017-09-01,2018,A0118150104,90011187,14,6
2017-09-01,2018,A0118150104,90011189,4,2
2017-09-01,2018,A0118150104,90011190,11,2
2017-09-01,2018,A0118150104,90011191,12,8
2017-09-01,2018,A0118150104,90012033,0,0
2017-09-01,2018,A0118150104,90012034,0,0
2017-09-01,2018,A0118150104,90012035,0,0
2017-09-01,2018,A0118150104,90012037,0,0
2017-09-01,2018,A0118150104,90012038,0,0
2017-09-01,2018,A0118150104,90012039,0,0
2017-09-01,2018,A0118150104,90012041,0,0
2017-09-01,2018,A0118150104,90013117,1,1
2017-09-01,2018,A0118150104,90013118,3,1
2017-09-01,2018,A0118150104,90013119,1,2
2017-09-01,2018,A0118150104,90013121,3,2
2017-09-01,2018,A0118150104,90013122,2,0
2017-09-01,2018,A0118150104,90013123,1,2
2017-09-01,2018,A0118150104,90016173,1,1
2017-09-01,2018,A0118150104,90016174,1,1
2017-09-01,2018,A0118150104,90016175,1,0
2017-09-01,2018,A0118150104,90022071,27,2
2017-09-01,2018,A0118150104,90022073,36,15
2017-09-01,2018,A0118150104,90022074,21,16
2017-09-01,2018,A0118150104,90022075,12,13
2017-09-01,2018,A0118150104,90022077,19,10
2017-09-01,2018,A0118150104,90022078,33,2
2017-09-01,2018,A0118150104,90022079,11,3
2017-09-01,2018,A0118150104,90022081,41,5
2017-09-01,2018,A0118150104,90022082,14,19
2017-09-01,2018,A0118150104,90022083,24,12
2017-09-01,2018,A0118150104,90023022,3,4
2017-09-01,2018,A0118150104,90023023,8,2
2017-09-01,2018,A0118150104,90023025,4,1
2017-09-01,2018,A0118150104,90023026,5,3
2017-09-01,2018,A0118150104,90023027,2,1
2017-09-01,2018,A0118150104,90023029,4,1
2017-09-01,2018,A0118150104,90023030,1,2
2017-09-01,2018,A0118150104,90027207,8,6
2017-09-01,2018,A0418150101,70002017,67,117
2017-09-01,2018,A0418150101,70002018,20,97
2017-09-01,2018,A0418150101,70003181,14,7
2017-09-01,2018,A0418150101,70003182,20,5
2017-09-01,2018,A0418150101,70006157,6,8
2017-09-01,2018,A0418150101,70006158,6,7
2017-09-01,2018,A0418150101,70007198,17,20
2017-09-01,2018,A0418150101,70007199,43,27
2017-09-01,2018,A0418150101,70008169,16,21
2017-09-01,2018,A0418150101,70008170,15,28
2017-09-01,2018,A0418150101,70011193,13,7
2017-09-01,2018,A0418150101,70011194,9,7
2017-09-01,2018,A0418150101,70012042,0,0
2017-09-01,2018,A0418150101,70012043,0,0
2017-09-01,2018,A0418150101,70013125,2,1
2017-09-01,2018,A0418150101,70013126,2,2
2017-09-01,2018,A0418150101,70016177,0,1
2017-09-01,2018,A0418150101,70016178,2,1
2017-09-01,2018,A0418150101,70022085,5,12
2017-09-01,2018,A0418150101,70023031,5,2
2017-09-01,2018,A0418150101,80001019,7,16
2017-09-01,2018,A0418150101,80006154,7,7
2017-09-01,2018,A0418150101,80006155,16,20
2017-09-01,2018,A0418150101,80007195,94,23
2017-09-01,2018,A0418150101,90001021,2,2
2017-09-01,2018,A0418150101,90002001,51,48
2017-09-01,2018,A0418150101,90002002,72,61
2017-09-01,2018,A0418150101,90002003,60,74
2017-09-01,2018,A0418150101,90002005,66,56
2017-09-01,2018,A0418150101,90002006,85,94
2017-09-01,2018,A0418150101,90002007,67,78
2017-09-01,2018,A0418150101,90002009,22,67
2017-09-01,2018,A0418150101,90002010,20,24
2017-09-01,2018,A0418150101,90002011,48,68
2017-09-01,2018,A0418150101,90002013,83,77
2017-09-01,2018,A0418150101,90002014,29,15
2017-09-01,2018,A0418150101,90002015,18,74
2017-09-01,2018,A0418150101,90003179,9,19
2017-09-01,2018,A0418150101,90006153,11,5
2017-09-01,2018,A0418150101,90007197,32,21
2017-09-01,2018,A0418150101,90008165,19,24
2017-09-01,2018,A0418150101,90008166,4,5
2017-09-01,2018,A0418150101,90008167,7,22
2017-09-01,2018,A0418150101,90011185,8,9
2017-09-01,2018,A0418150101,90011186,5,3
2017-09-01,2018,A0418150101,90011187,4,4
2017-09-01,2018,A0418150101,90011189,11,11
2017-09-01,2018,A0418150101,90011190,7,6
2017-09-01,2018,A0418150101,90011191,9,5
2017-09-01,2018,A0418150101,90012033,0,0
2017-09-01,2018,A0418150101,90012034,0,0
2017-09-01,2018,A0418150101,90012035,0,0
2017-09-01,2018,A0418150101,90012037,0,0
2017-09-01,2018,A0418150101,90012038,0,0
2017-09-01,2018,A0418150101,90012039,0,0
2017-09-01,2018,A0418150101,90012041,0,0
2017-09-01,2018,A0418150101,90013117,3,0
2017-09-01,2018,A0418150101,90013118,1,1
2017-09-01,2018,A0418150101,90013119,3,2
2017-09-01,2018,A0418150101,90013121,3,1
2017-09-01,2018,A0418150101,90013122,1,2
2017-09-01,2018,A0418150101,90013123,2,3
2017-09-01,2018,A0418150101,90016171,1,0
2017-09-01,2018,A0418150101,90016173,1,1
2017-09-01,2018,A0418150101,90016174,1,1
2017-09-01,2018,A0418150101,90016175,1,0
2017-09-01,2018,A0418150101,90022071,8,20
2017-09-01,2018,A0418150101,90022073,35,11
2017-09-01,2018,A0418150101,90022074,27,26
2017-09-01,2018,A0418150101,90022075,44,8
2017-09-01,2018,A0418150101,90022077,16,10
2017-09-01,2018,A0418150101,90022078,11,4
2017-09-01,2018,A0418150101,90022079,16,13
2017-09-01,2018,A0418150101,90022081,43,36
2017-09-01,2018,A0418150101,90022082,27,4
2017-09-01,2018,A0418150101,90022083,41,4
2017-09-01,2018,A0418150101,90023022,3,2
2017-09-01,2018,A0418150101,90023023,9,4
2017-09-01,2018,A0418150101,90023025,2,2
2017-09-01,2018,A0418150101,90023026,4,4
2017-09-01,2018,A0418150101,90023027,3,3
2017-09-01,2018,A0418150101,90023029,2,1
2017-09-01,2018,A0418150101,90023030,5,3
2017-09-01,2018,A0418150101,90027207,12,8
2017-09-01,2018,A0418150102,70002017,17,102
2017-09-01,2018,A0418150102,70002018,75,41
2017-09-01,2018,A0418150102,70003181,26,14
2017-09-01,2018,A0418150102,70003182,4,5
2017-09-01,2018,A0418150102,70006157,10,5
2017-09-01,2018,A0418150102,70006158,6,8
2017-09-01,2018,A0418150102,70007198,14,8
2017-09-01,2018,A0418150102,70007199,30,6
2017-09-01,2018,A0418150102,70008169,23,21
2017-09-01,2018,A0418150102,70008170,23,22
2017-09-01,2018,A0418150102,70011193,10,3
2017-09-01,2018,A0418150102,70011194,2,6
2017-09-01,2018,A0418150102,70012042,0,0
2017-09-01,2018,A0418150102,70012043,0,0
2017-09-01,2018,A0418150102,70013125,4,1
2017-09-01,2018,A0418150102,70013126,3,1
2017-09-01,2018,A0418150102,70016177,2,0
2017-09-01,2018,A0418150102,70016178,1,1
2017-09-01,2018,A0418150102,70022085,6,17
2017-09-01,2018,A0418150102,70023031,3,2
2017-09-01,2018,A0418150102,80001019,6,17
2017-09-01,2018,A0418150102,80006154,42,20
2017-09-01,2018,A0418150102,80006155,47,24
2017-09-01,2018,A0418150102,80007195,178,17
2017-09-01,2018,A0418150102,90001021,4,3
2017-09-01,2018,A0418150102,90002001,16,44
2017-09-01,2018,A0418150102,90002002,18,59
2017-09-01,2018,A0418150102,90002003,85,109
2017-09-01,2018,A0418150102,90002005,72,65
2017-09-01,2018,A0418150102,90002006,34,50
2017-09-01,2018,A0418150102,90002007,18,104
2017-09-01,2018,A0418150102,90002009,75,102
2017-09-01,2018,A0418150102,90002010,89,20
2017-09-01,2018,A0418150102,90002011,79,26
2017-09-01,2018,A0418150102,90002013,32,25
2017-09-01,2018,A0418150102,90002014,81,88
2017-09-01,2018,A0418150102,90002015,55,54
2017-09-01,2018,A0418150102,90003179,17,4
2017-09-01,2018,A0418150102,90006153,3,6
2017-09-01,2018,A0418150102,90007197,11,20
2017-09-01,2018,A0418150102,90008165,13,6
2017-09-01,2018,A0418150102,90008166,21,12
2017-09-01,2018,A0418150102,90008167,9,31
2017-09-01,2018,A0418150102,90011185,7,9
2017-09-01,2018,A0418150102,90011186,10,9
2017-09-01,2018,A0418150102,90011187,16,4
2017-09-01,2018,A0418150102,90011189,6,8
2017-09-01,2018,A0418150102,90011190,9,5
2017-09-01,2018,A0418150102,90011191,7,9
2017-09-01,2018,A0418150102,90012033,0,0
2017-09-01,2018,A0418150102,90012034,0,0
2017-09-01,2018,A0418150102,90012035,0,0
2017-09-01,2018,A0418150102,90012037,0,0
2017-09-01,2018,A0418150102,90012038,0,0
2017-09-01,2018,A0418150102,90012039,0,0
2017-09-01,2018,A0418150102,90012041,0,0
2017-09-01,2018,A0418150102,90013117,4,3
2017-09-01,2018,A0418150102,90013118,1,3
2017-09-01,2018,A0418150102,90013119,3,0
2017-09-01,2018,A0418150102,90013121,3,1
2017-09-01,2018,A0418150102,90013122,3,3
2017-09-01,2018,A0418150102,90013123,2,1
2017-09-01,2018,A0418150102,90016171,2,1
2017-09-01,2018,A0418150102,90016173,1,1
2017-09-01,2018,A0418150102,90016175,0,1
2017-09-01,2018,A0418150102,90022071,22,16
2017-09-01,2018,A0418150102,90022073,17,7
2017-09-01,2018,A0418150102,90022074,56,27
2017-09-01,2018,A0418150102,90022075,9,15
2017-09-01,2018,A0418150102,90022077,34,8
2017-09-01,2018,A0418150102,90022078,45,15
2017-09-01,2018,A0418150102,90022079,25,18
2017-09-01,2018,A0418150102,90022081,64,31
2017-09-01,2018,A0418150102,90022082,11,20
2017-09-01,2018,A0418150102,90022083,13,16
2017-09-01,2018,A0418150102,90023022,2,1
2017-09-01,2018,A0418150102,90023023,9,8
2017-09-01,2018,A0418150102,90023025,2,2
2017-09-01,2018,A0418150102,90023026,5,1
2017-09-01,2018,A0418150102,90023027,6,4
2017-09-01,2018,A0418150102,90023029,2,2
2017-09-01,2018,A0418150102,90023030,2,6
2017-09-01,2018,A0418150102,90027207,7,4
2017-09-01,2018,A0418150103,70002017,25,82
2017-09-01,2018,A0418150103,70002018,88,36
2017-09-01,2018,A0418150103,70003181,24,18
2017-09-01,2018,A0418150103,70003182,7,17
2017-09-01,2018,A0418150103,70006157,3,7
2017-09-01,2018,A0418150103,70006158,10,8
2017-09-01,2018,A0418150103,70007198,7,15
2017-09-01,2018,A0418150103,70007199,11,19
2017-09-01,2018,A0418150103,70008169,8,14
2017-09-01,2018,A0418150103,70008170,21,25
2017-09-01,2018,A0418150103,70011193,9,5
2017-09-01,2018,A0418150103,70011194,13,7
2017-09-01,2018,A0418150103,70012042,0,0
2017-09-01,2018,A0418150103,70012043,0,0
2017-09-01,2018,A0418150103,70013125,1,1
2017-09-01,2018,A0418150103,70013126,1,1
2017-09-01,2018,A0418150103,70016177,2,1
2017-09-01,2018,A0418150103,70016178,0,1
2017-09-01,2018,A0418150103,70022085,13,9
2017-09-01,2018,A0418150103,70023031,4,4
2017-09-01,2018,A0418150103,80001019,17,11
2017-09-01,2018,A0418150103,80006154,13,12
2017-09-01,2018,A0418150103,80006155,34,12
2017-09-01,2018,A0418150103,80007195,89,136
2017-09-01,2018,A0418150103,90001021,4,5
2017-09-01,2018,A0418150103,90002001,12,22
2017-09-01,2018,A0418150103,90002002,9,71
2017-09-01,2018,A0418150103,90002003,70,115
2017-09-01,2018,A0418150103,90002005,19,21
2017-09-01,2018,A0418150103,90002006,44,32
2017-09-01,2018,A0418150103,90002007,61,102
2017-09-01,2018,A0418150103,90002009,36,45
2017-09-01,2018,A0418150103,90002010,49,57
2017-09-01,2018,A0418150103,90002011,93,37
2017-09-01,2018,A0418150103,90002013,87,115
2017-09-01,2018,A0418150103,90002014,34,17
2017-09-01,2018,A0418150103,90002015,72,88
2017-09-01,2018,A0418150103,90003179,12,3
2017-09-01,2018,A0418150103,90006153,10,5
2017-09-01,2018,A0418150103,90007197,44,8
2017-09-01,2018,A0418150103,90008165,21,30
2017-09-01,2018,A0418150103,90008166,9,33
2017-09-01,2018,A0418150103,90008167,16,34
2017-09-01,2018,A0418150103,90011185,6,5
2017-09-01,2018,A0418150103,90011186,16,4
2017-09-01,2018,A0418150103,90011187,11,1
2017-09-01,2018,A0418150103,90011189,13,3
2017-09-01,2018,A0418150103,90011190,8,7
2017-09-01,2018,A0418150103,90011191,5,9
2017-09-01,2018,A0418150103,90012033,0,0
2017-09-01,2018,A0418150103,90012034,0,0
2017-09-01,2018,A0418150103,90012035,0,0
2017-09-01,2018,A0418150103,90012037,0,0
2017-09-01,2018,A0418150103,90012038,0,0
2017-09-01,2018,A0418150103,90012039,0,0
2017-09-01,2018,A0418150103,90012041,0,0
2017-09-01,2018,A0418150103,90013117,3,1
2017-09-01,2018,A0418150103,90013118,2,2
2017-09-01,2018,A0418150103,90013119,3,2
2017-09-01,2018,A0418150103,90013121,3,2
2017-09-01,2018,A0418150103,90013122,4,3
2017-09-01,2018,A0418150103,90013123,3,1
2017-09-01,2018,A0418150103,90016171,1,1
2017-09-01,2018,A0418150103,90016173,1,0
2017-09-01,2018,A0418150103,90016174,1,1
2017-09-01,2018,A0418150103,90016175,2,1
2017-09-01,2018,A0418150103,90022071,29,16
2017-09-01,2018,A0418150103,90022073,31,21
2017-09-01,2018,A0418150103,90022074,11,7
2017-09-01,2018,A0418150103,90022075,5,25
2017-09-01,2018,A0418150103,90022077,27,15
2017-09-01,2018,A0418150103,90022078,31,10
2017-09-01,2018,A0418150103,90022079,10,5
2017-09-01,2018,A0418150103,90022081,54,10
2017-09-01,2018,A0418150103,90022082,36,23
2017-09-01,2018,A0418150103,90022083,13,5
2017-09-01,2018,A0418150103,90023022,6,4
2017-09-01,2018,A0418150103,90023023,1,2
2017-09-01,2018,A0418150103,90023025,1,5
2017-09-01,2018,A0418150103,90023026,6,4
2017-09-01,2018,A0418150103,90023027,4,2
2017-09-01,2018,A0418150103,90023029,3,1
2017-09-01,2018,A0418150103,90023030,1,4
2017-09-01,2018,A0418150103,90027207,12,9
